"well","plate","replc","comp","c.len","abs.m","abs.sd","C","E","M","P","S","T","sd.C","sd.E","sd.M","sd.P","sd.S","sd.T","Vj.fit","se"
"C03","A","2","E-P",2,0.179775,0.0217600551469889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5688603364037,1.27040061643595
"C04","B","1","C-E-M-P-S-T",6,0.300925,0.0288357417105924,0,0,0,11400000,114200000,2400000,0,0,0,1509966.89,4779121.26,692820.32,24.5051141229292,0.47265177002643
"C04","B","2","C-E-M-P-S-T",6,0.278575,0.00936482781475453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5051141229292,0.47265177002643
"C05","A","1","C-E-P",3,0.254925,0.0300582767303783,9666666.67,166666.67,NA,10333333.33,NA,NA,1269295.52,166666.67,NA,1312334.65,NA,NA,10.0102287513234,0.715198481518576
"C05","A","2","C-E-P",3,0.298575,0.0495751954106083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0102287513234,0.715198481518576
"C07","A","1","E-P-T",3,0.160925,0.0139283882771841,NA,4e+05,NA,3600000,NA,10400000,NA,282842.71,NA,848528.14,NA,1442220.51,16.7659524353178,1.12702572555783
"C07","A","2","E-P-T",3,0.131975,0.0120913192001535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7659524353178,1.12702572555783
"C09","A","1","C-E-M-T",4,0.125725,0.0144982757595515,2e+06,2e+05,2e+05,NA,NA,1.2e+07,632455.53,2e+05,2e+05,NA,NA,1549193.34,9.53037483024748,0.699214046588479
"C09","A","2","C-E-M-T",4,0.105575,0.00676017751246223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.53037483024748,0.699214046588479
"D01","A","1","M",1,0.046525,0.00114017542509914,NA,NA,62500000,NA,NA,NA,NA,NA,3952847.08,NA,NA,NA,2.60510350865721,0.257948961344854
"D01","A","2","M",1,0.066975,0.00130384048104053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.60510350865721,0.257948961344854
"D02","A","1","C-P",2,0.111725,0.00370135110466435,4125000,NA,NA,20375000,NA,NA,3648629.88405295,NA,NA,9127568.1328305,NA,NA,2.86772662988356,0.256380031742829
"D02","A","2","C-P",2,0.138575,0.00535723809439155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86772662988356,0.256380031742829
"D03","A","1","E-S",2,0.143325,0.0137222447143315,NA,250000,NA,NA,1.6e+08,NA,NA,250000,NA,NA,6324555.32,NA,1.38529816487041,0.0738498512300494
